ScientificName
Apium graveolens
Solanum tuberosum
Malus domestica
Musa × paradisiaca
Capsicum annuum
Oryza sativa
Zea mays
Spinacia oleracea
Brassica oleracea var. capitata
Daucus carota
Cocos nucifera
Phoenix dactylifera
Linum usitatissimum
Citrus limon
Citrullus lanatus
Allium
Capsicum annuum
Pisum sativum
Glycine max
Vigna radiata
Avena sativa
Carica papaya
Prunus persica
Ananas comosus
Citrus sinensis
Allium cepa
Phaseolus vulgaris
Fagopyrum esculentum
Brassica oleracea
Lens culinaris
Citrus reticulata
Cenchrus americanus
Cucumis melo
Arachis hypogea
Brassica rapa
Triticum aestivum
Brassica oleracea var. capitata
Cichorium intybus
Cucurbita spp.
Solanum melongena
Prunus domestica
Foeniculum vulgare
Ficus carica
Rheum rhabarbarum
Psidium guajava
Armoracia rusticana
Actinidia chinensis
Lactuca sativa
Abelmoschus esculentus
Pyrus communis
Pistacia vera
Secale cereale
Ipomoea batatas
